report_date,value,location,location_type,data_field_code
2016-01-09,0.0,Colombia-Cundinamarca-San_Cayetano,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Fosca,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Fomeque,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Facatativa,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-El_Rosal,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Cerete,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Chima,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Chinu,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Cienaga_De_Oro,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Cotorra,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-La_Apartada,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Canalete,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Lorica,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Momil,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Montelibano,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Monitos,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Planeta_Rica,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Pueblo_Nuevo,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Puerto_Escondido,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Los_Cordobas,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Buenavista,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Ayapel,municipality,CO0002
2016-01-09,572.0,Colombia-Cordoba-Monteria,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Gamarra,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Gonzalez,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-La_Gloria,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-La_Jagua_De_Ibirico,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Manaure,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Pailitas,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Pelaya,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Pueblo_Bello,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Rio_De_Oro,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-La_Paz,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-San_Alberto,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-San_Diego,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-San_Martin,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-Tamalameque,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Unknown,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Puerto_Libertador,municipality,CO0002
2016-01-09,0.0,Colombia-Cesar-El_Copey,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Purisima,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-San_Andres_Sotavento,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Cajica,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Caparrapi,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Caqueza,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Carmen_De_Carupa,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Chaguani,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Chia,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Cachipay,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Chipaque,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Choconta,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Cogua,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Cota,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Cucunuba,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-El_Colegio,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-El_Penon,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Choachi,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Cabrera,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Bojaca,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Bituima,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-San_Antero,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-San_Bernardo_Del_Viento,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-San_Carlos,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-San_Jose_De_Ure,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-San_Pelayo,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Tierralta,municipality,CO0002
2016-01-09,2.0,Colombia-Cordoba-Tuchin,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Valencia,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Unknown,municipality,CO0002
2016-01-09,91.0,Colombia-Cundinamarca-Agua_De_Dios,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Alban,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Anapoima,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Anolaima,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Arbelaez,municipality,CO0002
2016-01-09,0.0,Colombia-Cundinamarca-Beltran,municipality,CO0002
2016-01-09,0.0,Colombia-Cordoba-Sahagun,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Quipama,municipality,CO0002
2016-01-09,6.0,Colombia-Boyaca-Puerto_Boyaca,municipality,CO0002
2016-01-09,0.0,Colombia-Boyaca-Pisba,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Juan_De_Uraba,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Luis,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Pedro,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Pedro_De_Uraba,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Rafael,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Roque,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Jose_De_La_Montana,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-San_Vicente,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Santa_Rosa_De_Osos,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-Santo_Domingo,municipality,CO0002
2016-01-09,0.0,Colombia-Antioquia-El_Santuario,municipality,CO0002
