report_date,location,location_type,data_field_code,value,ï»¿report_date
2016-05-30,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-06-06,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-06-06,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-06-06,Guatemala-Nor_Oriente,municipality,GT0001,3.0,
2016-06-06,Guatemala-Central,municipality,GT0001,0.0,
2016-06-06,Guatemala-Peten_Sur_Occidental,municipality,GT0001,1.0,
2016-06-06,Guatemala-Sur,municipality,GT0001,2.0,
2016-06-06,Guatemala-Solola,municipality,GT0001,0.0,
2016-06-06,Guatemala-Baja_Verapaz,municipality,GT0001,0.0,
2016-06-06,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-06-06,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-06-06,Guatemala-Huehuetenango,municipality,GT0001,0.0,
2016-06-06,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-06-06,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-06-06,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-06-06,Guatemala-Escuintla,municipality,GT0001,4.0,
2016-06-06,Guatemala-Ixcan,municipality,GT0001,0.0,
2016-06-06,Guatemala-Jutiapa,municipality,GT0001,2.0,
2016-06-06,Guatemala-Izabal,municipality,GT0001,0.0,
2016-06-06,Guatemala-El_Progreso,municipality,GT0001,13.0,
2016-06-06,Guatemala-Chiquimula,municipality,GT0001,8.0,
2016-06-06,Guatemala-Santa_Rosa,municipality,GT0001,9.0,
2016-06-06,Guatemala-Zacapa,municipality,GT0001,4.0,
2016-06-06,Guatemala,country,GT0001,53.0,
2016-06-06,Guatemala-Quetzaltenango,municipality,GT0001,3.0,
2016-06-06,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-06-06,Guatemala-Jalapa,municipality,GT0001,1.0,
2016-06-06,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-06-06,Guatemala-Peten_Sur_Oriental,municipality,GT0001,3.0,
2016-06-14,Guatemala-Chiquimula,municipality,GT0001,15.0,
2016-06-14,Guatemala-Santa_Rosa,municipality,GT0001,19.0,
2016-06-14,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-06-14,Guatemala-El_Progreso,municipality,GT0001,10.0,
2016-06-14,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-06-14,Guatemala-Jalapa,municipality,GT0001,2.0,
2016-06-14,Guatemala-Peten_Sur_Oriental,municipality,GT0001,6.0,
2016-06-14,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-06-14,Guatemala-Jutiapa,municipality,GT0001,2.0,
2016-06-14,Guatemala-Izabal,municipality,GT0001,2.0,
2016-06-14,Guatemala-Quetzaltenango,municipality,GT0001,4.0,
2016-06-14,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-06-14,Guatemala-Sur,municipality,GT0001,3.0,
2016-06-14,Guatemala-Central,municipality,GT0001,1.0,
2016-06-14,Guatemala-Nor_Oriente,municipality,GT0001,0.0,
2016-06-14,Guatemala-Ixcan,municipality,GT0001,1.0,
2016-06-14,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-06-14,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-06-14,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-06-14,Guatemala-Baja_Verapaz,municipality,GT0001,0.0,
2016-06-14,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-06-14,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-06-14,Guatemala-Huehuetenango,municipality,GT0001,0.0,
2016-06-14,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-06-14,Guatemala,country,GT0001,90.0,
2016-06-14,Guatemala-San_Marcos,municipality,GT0001,1.0,
2016-06-14,Guatemala-Solola,municipality,GT0001,0.0,
2016-06-14,Guatemala-Zacapa,municipality,GT0001,24.0,
2016-06-21,Guatemala-Huehuetenango,municipality,GT0001,0.0,
2016-06-21,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-06-21,Guatemala-Solola,municipality,GT0001,0.0,
2016-06-21,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-06-21,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-06-21,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-06-21,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-06-21,Guatemala-Baja_Verapaz,municipality,GT0001,2.0,
2016-06-21,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-06-21,Guatemala-Ixcan,municipality,GT0001,0.0,
2016-06-21,Guatemala-Nor_Oriente,municipality,GT0001,3.0,
2016-06-21,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-06-21,Guatemala-Central,municipality,GT0001,12.0,
2016-06-21,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-06-21,Guatemala-Sur,municipality,GT0001,3.0,
2016-06-21,Guatemala-Izabal,municipality,GT0001,0.0,
2016-06-21,Guatemala,country,GT0001,74.0,
2016-06-21,Guatemala-Escuintla,municipality,GT0001,1.0,
2016-06-21,Guatemala-Zacapa,municipality,GT0001,16.0,
2016-06-21,Guatemala-Santa_Rosa,municipality,GT0001,10.0,
2016-06-21,Guatemala-Chiquimula,municipality,GT0001,13.0,
2016-06-21,Guatemala-El_Progreso,municipality,GT0001,2.0,
2016-06-21,Guatemala-Quetzaltenango,municipality,GT0001,0.0,
2016-06-21,Guatemala-Jalapa,municipality,GT0001,7.0,
2016-06-21,Guatemala-Peten_Sur_Oriental,municipality,GT0001,4.0,
2016-06-21,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-06-21,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-06-21,Guatemala-Suchitepequez,municipality,GT0001,1.0,
2016-06-28,Guatemala-Nor_Occidente,municipality,GT0001,5.0,
2016-06-28,Guatemala-El_Quiche,municipality,GT0001,1.0,
2016-06-28,Guatemala-Sacatepequez,municipality,GT0001,1.0,
2016-06-28,Guatemala-Baja_Verapaz,municipality,GT0001,0.0,
2016-06-28,Guatemala-Sur,municipality,GT0001,2.0,
2016-06-28,Guatemala-Izabal,municipality,GT0001,0.0,
2016-06-28,Guatemala-Ixcan,municipality,GT0001,0.0,
2016-06-28,Guatemala-Nor_Oriente,municipality,GT0001,1.0,
2016-06-28,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-06-28,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-06-28,Guatemala-Chimaltenango,municipality,GT0001,0.0,
2016-06-28,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-06-28,Guatemala-Solola,municipality,GT0001,0.0,
2016-06-28,Guatemala-Jalapa,municipality,GT0001,5.0,
2016-06-28,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-06-28,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-06-28,Guatemala-Peten_Sur_Oriental,municipality,GT0001,3.0,
2016-06-28,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-06-28,Guatemala-Alta_Verapaz,municipality,GT0001,0.0,
2016-06-28,Guatemala-El_Progreso,municipality,GT0001,2.0,
2016-06-28,Guatemala-Quetzaltenango,municipality,GT0001,1.0,
2016-06-28,Guatemala-Chiquimula,municipality,GT0001,22.0,
2016-06-28,Guatemala-Santa_Rosa,municipality,GT0001,21.0,
2016-06-28,Guatemala-Zacapa,municipality,GT0001,17.0,
2016-06-28,Guatemala,country,GT0001,87.0,
2016-06-28,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-06-28,Guatemala-Huehuetenango,municipality,GT0001,1.0,
2016-06-28,Guatemala-Central,municipality,GT0001,5.0,
2016-07-05,Guatemala-Izabal,municipality,GT0001,0.0,
2016-07-05,Guatemala-Chiquimula,municipality,GT0001,7.0,
2016-07-05,Guatemala-Quetzaltenango,municipality,GT0001,6.0,
2016-07-05,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-07-05,Guatemala-Sur,municipality,GT0001,8.0,
2016-07-05,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-07-05,Guatemala-Baja_Verapaz,municipality,GT0001,2.0,
2016-07-05,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-07-05,Guatemala-El_Quiche,municipality,GT0001,0.0,
2016-07-05,Guatemala-Chimaltenango,municipality,GT0001,1.0,
